"id","sort_name","name","CreatorURL","gender","biography","date","CreatorArt"
"6741","'Abbasi, Riza","Riza 'Abbasi","https://art.thewalters.org/browse/creator/riza-abbasi","",""," (Persian, ca. 1565-1635)","37361, 34627, 33104, 26833, 25935, 9485, 4103, 9136, 7066, 8791, 83812, 83813, 83814, 83862, 84197, 84198, 84233, 84234"
"4237","'Abbasi, Shaykh","Shaykh 'Abbasi","https://art.thewalters.org/browse/creator/shaykh-abbasi","",""," (Persian, active 1650-1684)","33104, 25935, 19347, 987, 7066, 84294, 84260"
"19270","'Abd al-Razzaq, Abu Mansur Muhammad ibn","Abu Mansur Muhammad ibn 'Abd al-Razzaq","https://art.thewalters.org/browse/creator/abu-mansur-muhammad-ibn-abd-al-razzaq","","","","7066, 83514"
"19395","'Ali","'Ali","https://art.thewalters.org/browse/creator/ali","","","","19840, 90954, 90955"
"16856","'Ali Sultan","Sultan 'Ali","https://art.thewalters.org/browse/creator/sultan-ali","","","","82840, 80051, 11787, 90218"
"15703","'Ali, 'Abd al-'Ali ibn Yahyá ibn Qawam al-Din ibn","'Abd al-'Ali ibn Yahyá ibn Qawam al-Din ibn 'Ali","https://art.thewalters.org/browse/creator/abd-al-ali-ibn-yahy-ibn-qawam-al-din-ibn-ali","",""," (Iranian)","12700"
"15716","'Ali, Ali ibn Muhibb","Ali ibn Muhibb 'Ali","https://art.thewalters.org/browse/creator/ali-ibn-muhibb-ali","","","","82638, 82637, 15961"
"19350","'Ali, Ibn Muhammad Riza Muhammad","Ibn Muhammad Riza Muhammad 'Ali","https://art.thewalters.org/browse/creator/ibn-muhammad-riza-muhammad-ali","","","","20980, 84329"
"19360","'Ali, Mir","Mir 'Ali","https://art.thewalters.org/browse/creator/mir-ali","","","","36069, 25935, 19840, 84262, 84263, 90954, 90955"
"2405","'Ali, Muhammad","Muhammad 'Ali","https://art.thewalters.org/browse/creator/muhammad-ali","","","","36069"
"7688","'Ambarin Qalam, 'Abd al-Rahim","'Abd al-Rahim 'Ambarin Qalam","https://art.thewalters.org/browse/creator/abd-al-rahim-ambarin-qalam","","","","1929, 6633, 83663, 83664, 83665, 83666, 90217, 7782"
"19403","'Attar, Farid al-Din","Farid al-Din 'Attar","https://art.thewalters.org/browse/creator/farid-al-din-attar","",""," (died 618 AH/AD 1221)","19657, 84221, 84222"
"19232","'Umar, Muhammad Salih ibn","Muhammad Salih ibn 'Umar","https://art.thewalters.org/browse/creator/muhammad-salih-ibn-umar","","","","83120, 83119, 83118, 83117, 22637"
"15399","Abdul-Rahman, al-Walid ibn","al-Walid ibn Abdul-Rahman","https://art.thewalters.org/browse/creator/al-walid-ibn-abdul-rahman","",""," (Syrian)","11026"
"15728","Abi Bakr, Ahmed ibn Hajji al-Katib","Ahmad ibn Hajji Abi Bakr al-Katib","https://art.thewalters.org/browse/creator/ahmad-ibn-hajji-abi-bakr-al-katib","","","","80048, 80047, 80046, 80045, 80044, 80043, 80042, 80041, 80040, 80039, 80038, 80037, 80036, 80035, 80034, 80033, 80032, 80031, 80030, 77719, 77718, 77716, 77715, 22125, 77717"
"5076","Abondio, Antonio","Antonio Abondio","https://art.thewalters.org/browse/creator/antonio-abondio","male",""," (Italian, 1538-1591)","5742"
"2213","Abru, Hafiz","Hafiz Abru","https://art.thewalters.org/browse/creator/hafiz-abru","",""," (died 833 AH/AD 1430)","1984"
"6357","Achaemenid","Achaemenid","https://art.thewalters.org/browse/creator/achaemenid","","","","13610, 9497, 11235"
"2952","Achenbach, Andreas","Andreas Achenbach","https://art.thewalters.org/browse/creator/andreas-achenbach","male",""," (German, 1815-1910)","19760, 5990"
"5903","Achenbach, Oswald","Oswald Achenbach","https://art.thewalters.org/browse/creator/oswald-achenbach","male",""," (German, 1827-1905)","30615"
"32268","Ackermann, Rudolph","Rudolph Ackermann","https://art.thewalters.org/browse/creator/rudolph-ackermann","","","","89937"
"8224","Acron","Acron","https://art.thewalters.org/browse/creator/acron","",""," (Roman, 3rd century)","27021"
"6287","Ad-din, Zain","Zain Ad-din","https://art.thewalters.org/browse/creator/zain-ad-din","","","","38050"
